Merge	50		1219	3078
Merge	50		1047	3076
Merge	50		1344	3078
Merge	50		1000	3080
Merge	50		1156	3076
Merge	50		1235	3088
Merge	100		1094	6912
Merge	100		1329	6902
Merge	100		1235	6921
Merge	200		1297	15346
Merge	200		1203	15324
Merge	200		1547	15352
Merge	400		1766	33726
Merge	400		1610	33713
Merge	400		1594	33746
Merge	800		2781	73458
Merge	800		2328	73405
Merge	800		2969	73465
Merge	1600		4531	158874
Merge	1600		4016	158904
Merge	1600		4141	158970
Merge	3200		8782	341838
Merge	3200		8188	341723
Merge	3200		8125	341757
Merge	6400		17704	731672
Merge	6400		17516	731854
Merge	6400		17110	731715
